Stock,Mixture,Arima,Tbats,Stlm,Fourier,ETS,BestModel
1,7.882187684,6.684939608,14.32633888,11.88061436,7.798411435,9.87849736,Arima
2,2.97004146,4.362897107,3.296870375,6.936731343,2.469817622,4.267367241,Mixture
3,133.2096018,190.1611437,182.9727554,167.1501383,132.6504346,189.961388,Mixture
4,36.98487617,28.05704112,41.0881222,53.10443277,37.447272,28.77787941,Arima
5,0.871227455,0.74160485,0.757157212,0.772240232,0.930945275,0.712138424,Arima
6,2.688045928,2.055593802,3.103751539,3.583372343,2.614343403,2.206376384,Arima
7,9.51554799,9.214701842,14.63850087,6.250959224,9.676492241,8.84281106,Stlm
8,6.373556295,4.359504889,10.75783074,11.95239426,6.215803715,6.17462175,Arima
9,2.197298039,4.335127148,3.097941482,4.668617543,4.817695229,5.561471266,Mixture
10,4.236673891,4.26554564,5.553835104,6.30126133,4.203412257,3.901184322,Mixture
11,9.825666208,5.741257301,8.086040105,9.191305564,5.551589964,4.910609198,Arima
12,2.911818466,3.804531062,5.694833239,3.017028113,2.271498643,3.657057967,Mixture
13,6.924454323,9.181602319,11.31016936,13.02391528,8.777404342,9.357763212,Mixture
14,1.501141906,1.688129675,1.035462538,1.586282227,1.663430386,1.877949762,Tbats
15,7.80696689,7.899922012,7.762100321,10.89606512,7.79733708,7.727393249,Tbats
16,0.299373634,0.272694705,0.421931272,0.187201619,0.406520372,0.271324193,Stlm
17,14.03668736,15.30068655,14.69607873,13.99477171,11.73592362,11.45098423,Stlm
18,2.808204056,4.214112453,6.746882411,5.507741706,2.746823776,4.12855782,Mixture
19,19.32284021,16.27476609,18.11746553,25.5278334,19.63200795,15.6128637,Arima
